SAP Cost Center,SAP Parent Customer,BCA,D365 Account
3125CSHKQP,3125C,N200730,HYPEBEAST
AAPXXSHIHS,Advance Auto Parts,N211471,Advance Auto Parts
ABBOTBJTRT,Abbott Group,N190182,Abbott Nutrition
ABBOTBJXWS,Abbott Group,N190182,Abbott Nutrition
ABBOTCDTRT,Abbott Group,N190182,Abbott Nutrition
ABBOTCDXXS,Abbott Group,N200641,Abbott Nutrition
ABBOTJXXWS,Abbott Group,0,(blank)
ABBOTSHDBP,Abbott Group,N190182,Abbott Nutrition
ABBOTSHDBS,Abbott Group,N200586,Abbott Nutrition
ABBOTSHKQP,Abbott Group,N190182,Abbott Nutrition
ABBOTSHKQS,Abbott Group,S200462,Abbott Nutrition
ABBOTSHTRT,Abbott Group,N190182,Abbott Nutrition
ABBOTSZLHS,Abbott Group,N211417,Abbott Nutrition
ABBOTSZLHS,Abbott Group,N211417,Ping Wen Logistics
ABBOTSZTRT,Abbott Group,N190182,Abbott Nutrition
ABBXXBJXMS,ABB,0,(blank)
ABBXXGZPBS,ABB,0,(blank)
ACCURBJTDD,Accuray,N200673C1,Accuray
ACCURBJTRD,Accuray,N211314C1,Accuray
ACCURBJXWS,Accuray,N211314C1,Accuray
ACCURSHYXS,Accuray,N211084,Accuray
ADCOESZOES,RPA,0,(blank)
AGILEBJPRS,AGILENT,0,(blank)
AGILESHIHS,AGILENT,0,(blank)
AGILTSHSHT,TS-Agilent,0,(blank)
AGVXXSHKQS,Other Customers Others,0,(blank)
AHFYUSHTRF,Anhui Fengyuan,N211282,安徽丰原国际货运有限公司
AIRBSBJXWS,AIRBUS GROUP - Technology,N211663,Airbus Security System
AIRBUTJALS,AIRBUS GROUP - Industrial,0,(blank)
ALICAHZXXD,ALIBABA,0,(blank)
ALICASHTRT,ALIBABA,0,(blank)
ALSHAKMTRD,AL SHAMS,N200661,AL SHAMS HOTELS ACCESSORIES &FLOWERS TR.LLC
AMATXBJKCS,APPLIED MATERIAL,N211710,APPLIED MATERIAL
AMATXHFCBS,APPLIED MATERIAL,0,(blank)
AMATXHFTRT,APPLIED MATERIAL,N200793,APPLIED MATERIAL
AMATXNJBYS,APPLIED MATERIAL,0,(blank)
AMATXSHKQS,APPLIED MATERIAL,N200116,APPLIED MATERIAL
AMATXSZBAS,APPLIED MATERIAL,0,(blank)
AMATXWHSLS,APPLIED MATERIAL,0,(blank)
AMATXWXIHS,APPLIED MATERIAL,0,(blank)
AMATXXAEPS,APPLIED MATERIAL,0,(blank)
AMATXXMXAS,APPLIED MATERIAL,0,(blank)
AMPHNCZTRD,AMPHENOL,N200555,Amphenol
ANPINXATRD,AnPing Building,N211435,AnPing Building Materials
ANPINXAYXS,AnPing Building,N211531,AnPing Building Materials
APPCNSHTRT,APP,N190131,(blank)
APPLECDSBS,APPLE,0,(blank)
APPLECDSRH,APPLE,0,(blank)
APPLECDSRW,APPLE,0,(blank)
APPLESHBSH,APPLE,S211244,APPLE
APPLESHBSS,APPLE,0,(blank)
APPLESHTRH,APPLE,0,(blank)
APPLESHTRT,APPLE,N200625,APPLE
APPLESHWHW,APPLE,S211244,APPLE
APPLESZFTH,APPLE,0,(blank)
APPLESZFTS,APPLE,0,(blank)
APPLESZWHW,APPLE,0,(blank)
ARDCHSHKQP,Arcor-DCH,N211370,ARCOR Group
ARDCHSHKQP,Arcor-DCH,N211370,ARCOR Group
ARKERKMTRD,Neimenggu Arker,N200662,(blank)
ARROWSHFSS,ARROW ELECTRONICS,0,(blank)
ARTEXSHWHS,ARTE,N200249,Arte Jewellery
ASCENBJTRT,PANASONIC - Healthcare,N190268,Panasonic Health Care/ASCENSIA
ASMLXBJKCS,ASML,N211128,ASML
ASMLXGZGQS,ASML,N200476,ASML
ASMLXNJLHS,ASML,N211058,ASML
ASMLXSZEPS,ASML,S200094,ASML
ASMLXTJXQS,ASML,N200648,ASML
ASMLXXAEPS,ASML,N211058,ASML
ASMLXXMXAS,ASML,N200550,ASML
ASUSCSHTRT,ASUSTEK COMPUTER,N211618,Asus
ASUSXCQTRT,ASUSTEK COMPUTER,N211257,Asus
ASUSXDGTRD,ASUSTEK COMPUTER,N200821,Asus
ASUSXSHTRT,ASUSTEK COMPUTER,0,(blank)
ASUSXSZTRT,ASUSTEK COMPUTER,0,(blank)
ATGXXSHYSS,ATG,N211009,Apex Tool
AUDICSHTRT,VOLKSWAGEN,N211436,Audi
AUDIXSHTRT,VOLKSWAGEN,0,(blank)
AUTBDBGOHS,Auto Overhead,0,(blank)
AUTOFBGOHS,Auto Overhead,0,(blank)
AUTOHBGOHS,Auto Overhead,0,(blank)
AUTS1SHKQS,Other Project Auto,0,(blank)
AUTS2SHKQS,Other Project Auto,0,(blank)
AUTS3SHKQS,Other Project Auto,0,(blank)
AUTS4SHKQS,Other Project Auto,0,(blank)
AUXOPBGOHS,Auto Overhead,0,(blank)
AZXXXCQYHS,ASTRAZENECA,0,(blank)
AZXXXWXTRT,ASTRAZENECA,N200134,AstraZeneca Corporate
AZXXXWXWHS,ASTRAZENECA,N211135,AstraZeneca Corporate
BAKERTJTRD,Baker Hughes,N200059,BAKER HUGHES
BAOWUSHWHS,Baowu,N200230,China Baowu Steel Group
BAPSXSHOES,BAPS,0,(blank)
BARONSHTRD,Barong food,N200363,Shanghai BaRong Food
BASFXSHITS,BASF,0,(blank)
BATXXSZQHS,BAT,N200704,BAT
BAYERBJTRT,BAYER,N211301,BAYER
BBACCBJTRD,Benz,0,(blank)
BBACCBJTRT,Benz,N200290,Beijing Benz Automotive Co
BECTDSHDBH,Becton Dickinson,N190148,BECTON DICKINSON
BECTDSHIHS,Becton Dickinson,N200605,BECTON DICKINSON
BEITESHTRD,Beite Food,N200262,Beite Food
BETONQDIHS,BETONE,N211654,BETONE TECHNOLOGY
BETONTJXQS,BETONE,N211654,BETONE TECHNOLOGY
BEUKASHIHS,Beukay,N200847,Beukay
BEUKAYWIHS,Beukay,N211509,Beukay
BFDAXBJTRT,BFDA,N211228,Foton Daimler
BFDAXBJYQS,BFDA,N211228,Foton Daimler
BIWEITJTDT,Biwei,N200468,BiWei
BIWEITJTRT,Biwei,N200468,BiWei
BJGNCBJIHC,Beijing Guonong,N211005,Beijing Guonongchunzhenyoupin Technology
BJHYWBJTRT,北京航楹物流,0,(blank)
BJJOYCNTRD,Beijing Century Joyo,N211560,Beijing Century Joyo Courier Service Co.Ltd
BJTRTBJBJR,同仁堂,0,(blank)
BJTRTBJBJT,同仁堂,0,(blank)
BJXFGBJTRT,Beijing Xiaofangui,N190049C1,Beijing Xiaofangui Technology
BJYILSHSJS,BEIJING-YILIN,N211045,Beijing Yilin Technology
BJYILSHTRD,BEIJING-YILIN,N211045,Beijing Yilin Technology
BMWCSSYKFS,BMW,N200188,BMW Automotive
BMWIMBJTRT,BMW,N200022C1,BMW Brilliance Automotive
BMWIMSYTDD,BMW,N211154,BMW Brilliance Automotive
BMWIMSYTRD,BMW,N200048,BMW Brilliance Automotive
BMWIMSYTRT,BMW,N210984,BMW Brilliance Automotive
BMWIMSYXXS,BMW,0,(blank)
BMWSPSYTRD,BMW,S211069,Eberspaecher
BMWSPSYTRD,BMW,S211069,"Ljunghäll (Wuxi) Die-Casting Co., Ltd."
BMWSPSYTRD,BMW,S211069,Minth Group
BMWSPSYTRD,BMW,S211069,Salerish
BMWXXBJTDT,BMW,N211651,BMW Automotive
BMWXXBJTRT,BMW,N190236,BMW Brilliance Automotive
BMWXXCDTRT,BMW,0,(blank)
BMWXXFSTRT,BMW,0,(blank)
BMWXXGDTRD,BMW,N200727,BMW Brilliance Automotive
BMWXXHFSFS,BMW,N200374,BMW Brilliance Automotive
BMWXXSHTRD,BMW,N200243,Beijing Chenghetong Logistics
BMWXXSHTRD,BMW,N200243,BMW Brilliance Automotive
BMWXXSHYSH,BMW,N200356,Suppliers - BMW
BMWXXSHYSS,BMW,N190216,BMW Automotive
BMWXXSYTRT,BMW,0,(blank)
BMWXXYJBMS,BMW,0,(blank)
BNQXXBJTRD,B&Q,N200885,B&Q
BNQXXSHTRT,B&Q,N200043,B&Q
BORGWBJTRD,Borgward,0,(blank)
BORGWBJTRT,Borgward,N190222,Borgward
BOSEXBJXWS,BOSE,0,(blank)
BOSEXGZHPS,BOSE,N200823,(blank)
BOSEXSHKQH,BOSE,N211184,BOSE
BOSEXSHKQS,BOSE,N211665,BOSE
BOSEXSHKQS,BOSE,N211665,Local Logistics
BOSEXSHKQS,BOSE,N211665,WELL-WIN LOGISTICS
BOSEXSHWHS,BOSE,N211184,BOSE
BOSEXSHWHS,BOSE,N211184,WELL-WIN LOGISTICS
BOSHISHTRT,JOHNSON & JOHNSON,N211142,Boshi Vision Care
BOSINSHFSS,Bosinuo ,N211159,南京泊斯诺电子科技有限公司
BREMBNJTRD,Brembo,N211185,Brembo
BREMBWXIHS,Brembo,N210958,Brembo
BRIDADGXSS,Bright,N200201,Bright Dairy
BRPXXSHTRT,Bombardier Recreational Products,N211480,Bombardier Recreational Products
BRPXXSHYXS,Bombardier Recreational Products,N211480,Bombardier Recreational Products
BURBYSHDQS,BURBERRY,N211535,BURBERRY
BURTOSHSYH,Burton,N211145,Burton
BURTOSHSYS,Burton,N211283,Burton
BURTOSHTRT,Burton,N211023,Burton
BURTOSZLHS,Burton,0,(blank)
BURTSSZLHP,CLOROX,0,(blank)
BURTSSZLHS,CLOROX,0,(blank)
BYBONBJTRD,Bybon,N211306,Bybon
CANAABJTRT,Canaan Creative,0,(blank)
CANAABJXWS,Canaan Creative,0,(blank)
CANASSUTRT,Canadian Solar Inc,N211158,Canadian Solar
CANBIBJBJT,参比制剂平台,0,(blank)
CCLXXJMTRD,CCL,N211425,中都（株洲）物流有限公司
CCOOPSZTRF,China Co-op eCommerce ,N211288,China Co-op eCommerce
CDFXXSHTRT,CDF International Group,N211418,"Shanghai Taiyin Enterprise Co., Ltd."
CECEPBJALD,CECEP Leping Company,0,(blank)
CECEPBJTRT,CECEP Leping Company,0,(blank)
CEXARSHBSH,EXAR,0,(blank)
CEXARSHBSS,EXAR,0,(blank)
CHANESHKQS,CHANEL,N200207C2,CHANEL
CHARGGZHPS,Chargeurs,N211624,Chargeurs PCC
CHENDCDTRT,CNCEC - Industrial,0,(blank)
CHTONBJTRT,Chenghetong,0,(blank)
CHUIXSHKQS,Chui Xue Charging,N200520,Chui Xue Charging
CHUSTXATRF,Chuang Shi Tong,0,(blank)
CJLRXBJTRT,TATA,0,(blank)
CJLRXFSTRT,TATA,0,(blank)
CLARISHFSH,Clariant,N200031,CLARIANT
CMXOFBGOHS,CM Overhead,0,(blank)
CMXOHBGOHS,CM Overhead,0,(blank)
CNCECCDXXS,CNCEC - Chemicals,0,(blank)
CNDXXSHKQS,C&D Logistics,N211576,C&D Logistics (Shanghai)
CNHIXHBTPD,CNHi,N211008,CNH Industrial AG/CE
CNMOBBJTRT,China Mobile,N190141,China Mobile
CNMOBBTTRT,China Mobile,N211172,China Mobile
CNMOBJLTRT,China Mobile,N200390,China Mobile
CNMOBSHTPT,China Mobile,N211678,China Mobile
CNMOBSHTRT,China Mobile,N200057,China Mobile
CNMOBSJTRT,China Mobile,N190042,China Mobile
CNMOBSZTRT,China Mobile,N211146,China Mobile
CNMOBXJTRT,China Mobile,N210973,China Mobile
CNMOBXMTRT,China Mobile,N190142,China Mobile
CNMOBYNTRT,China Mobile,S210911,China Mobile
CNPCBLZEPR,中石油,N200200,CNPC
CNPCXLYTRT,中石油,N200398,CNPC
COACHSHSFH,COACH,N211594,Coach Leatherware
COACHSHSFR,COACH,N211594,COACH
COACHSHSFR,COACH,N211594,Coach Leatherware
COACHSHSFS,COACH,N211594,Coach Leatherware
COACHSHSFU,COACH,N211594,Coach Leatherware
COACHSHTRT,COACH,N211594,Coach Leatherware
CONTIAHTRD,Continental AG,N210946,Continental Corporate
CONTICCTRD,Continental AG,N210946,Continental Corporate
CONTITJTRD,Continental AG,N210946,Continental Corporate
CORNGWHIHS,CORNING,N211610,Corning
CORSPBJXWS,Coriant,0,(blank)
COSTAGZTRT,WHITBREAD,N211633,Costa coffee
COSTASHH2S,WHITBREAD,N211633,Costa coffee
COSTASHH2S,WHITBREAD,N211633,QINMAI
COSTASHHTS,WHITBREAD,N211633,Costa coffee
COSTASHTRT,WHITBREAD,N211633,Costa coffee
COTYXSHTRT,Coty,N200091,COTY
CQCAMSHTRF,CQCAMS,N211568,"CHONGQING CHANGAN MINSHENG APLL LOGISITCS CO.,LTD"
CQHAVTJTRD,Chongqing Haval,N200229,Great Wall Ants Logistics
CRCONDGIHG,China Railway Construction Group,N200904,China Railway Construction Group
CRCONNCIHG,China Railway Construction Group,N200584,China Railway Construction Group
CRCONSZIHG,China Railway Construction Group,N200689C1,China Railway Construction Group
CRCONYJIHG,China Railway Construction Group,N211216,China Railway Construction Group
CRXBDBGOHS,CR Overhead - Consumer,0,(blank)
CRXOFBGOHS,CR Overhead - Consumer,0,(blank)
CRXOHBGOHS,CR Overhead - Consumer,0,(blank)
CRXOTBGOHS,CR Overhead - Retail,0,(blank)
CSADMHNCSO,HN SF LSHC,0,(blank)
CSAIQHNCSS,HN SF LSHC,0,(blank)
CSALPHNCSS,HN SF LSHC,0,(blank)
CSBDXHNCSO,HN SF LSHC,0,(blank)
CSDEFHNCSZ,HN SF LSHC,0,(blank)
CSFINHNCSO,HN SF LSHC,0,(blank)
CSFXCHNCSS,HN SF LSHC,0,(blank)
CSHRXHNCSO,HN SF LSHC,0,(blank)
CSHSYHNCSS,HN SF LSHC,0,(blank)
CSIDLHNCSS,HN SF LSHC,0,(blank)
CSITXHNCSO,HN SF LSHC,0,(blank)
CSKHXHNCSS,HN SF LSHC,0,(blank)
CSLEPHNCSS,HN SF LSHC,0,(blank)
CSLPXGUTRT,中体彩印务,N200874,CSLP
CSLPXGUWHS,中体彩印务,N200874,CSLP
CSMGTHNCSO,HN SF LSHC,0,(blank)
CSNBHHNCSS,HN SF LSHC,0,(blank)
CSNBHHNCST,HN SF LSHC,0,(blank)
CSOPSHNCSS,HN SF LSHC,0,(blank)
CSOTHHNCSS,HN SF LSHC,0,(blank)
CSQAXHNCSO,HN SF LSHC,0,(blank)
CSQGYHNCSS,HN SF LSHC,0,(blank)
CSRHXHNCSS,HN SF LSHC,0,(blank)
CUSOFBGOHH,TSC Overhead,0,(blank)
CVTESGZTRD,SL - CVTE,N200212,CVTE
CYTIVSHKQS,Cytiva,N200220C1,Global Life Sciences Technologies
CYTIVSHTRT,Cytiva,N200220C1,Global Life Sciences Technologies
DABANSHTRD,Dabang Logistics,N200103,Shanghai Dabang Logistics
DAIMLBJTRT,DAIMLER,0,(blank)
DAIMLCDTRT,DAIMLER,0,(blank)
DAMAINNWHS,DAMAI,N200007C1,Barley Network
DANFOKSHQS,DANFOSS,0,(blank)
DANFOSHFSS,DANFOSS,0,(blank)
DCECXGZHPS,Dongfeng Cummins,0,(blank)
DECKESZTRT,Deckers,0,(blank)
DELLSBJTRT,DELL TECHNOLOGIES,H210951,Dell
DELLSBJXWS,DELL TECHNOLOGIES,H210951,Dell
DELLSGHD2S,DELL TECHNOLOGIES,H210951,Dell
DELLSGZTRT,DELL TECHNOLOGIES,H210951,Dell
DELLSSHALH,DELL TECHNOLOGIES,N211539,Dell
DELLSSHALS,DELL TECHNOLOGIES,N211539,Dell
DELLSSHTRT,DELL TECHNOLOGIES,H210951,Dell
DELLSSHY2S,DELL TECHNOLOGIES,H210951,Dell
DFRUYSXTRT,Dongfang Ruye ,N190003,Xi'an Dongfang Ruye
DGABNSHTRD,Dolce & Gabbana,N210939,D&G
DGFECSZLHS,DHL Global Forwarding,0,(blank)
DGFXXCDTRT,DHL Global Forwarding,0,(blank)
DGFXXSHKQS,DHL Global Forwarding,0,(blank)
DHLCOSHKQG,DHL,0,(blank)
DIADOXMNSS,DIADORA,N200080,Diadora
DINGYSHTRT,Ding Yao,N190248,Jiangsu Ding Yao Logistics
DIODESHFTH,DIODES,N211262,Diodes
DIODESHFTS,DIODES,N211262,Diodes
DIODESHGWH,DIODES,0,(blank)
DIODESHTRD,DIODES,N200568,Diodes
DISNESHKQS,Disney,N200170,Disney - Parks & Resorts
DISNESHTRD,Disney,N200170,Disney - Parks & Resorts
DJIXXBJXWS,DJI,0,(blank)
DKSHXSHKQP,DKSH Consumer,N211494,DKSH Consumer
DOTERSHTRT,doTERR,N211207,doTERRA
DOULECQIHG,Duole,N200872,Duole
DRJATSHLXS,UCO,N211139,Hangzhou Ruitai Supply Chain Management
DSCCNSHKQS,DHL Supply Chain,0,(blank)
DSCXXCDTRT,DHL Supply Chain,0,(blank)
DSCXXLZDCS,DHL Supply Chain,0,(blank)
DSCXXSHYXS,DHL Supply Chain,0,(blank)
DSCXXXMXAS,DHL Supply Chain,0,(blank)
DXCXXBJTRT,DXC,N210997,DXC Technology
DXCXXBJXWS,DXC,N210997,DXC Technology
DXCXXXAXXS,DXC,N200225,DXC Technology
EADSXBJXWS,AIRBUS GROUP - Industrial,0,(blank)
EATONWXIHS,Eaton Industries,N211592,Eaton Industrial
EBJSTBJSYR,北京速通,0,(blank)
EBJSTBJSYT,北京速通,0,(blank)
ECCOXDGXSS,ECCO,N190044,(blank)
ECCOXSHSJS,ECCO,N211045,ECCO
ECCOXSHSJS,ECCO,N211045,Qingmutec
ECCOXSHTRR,ECCO,N211045,ECCO
EDELMSHHCS,Edelman,N211611,Edelman
EIECMSZIHF,EI e-commerce,0,(blank)
EIOPSBGOHS,EI Overhead,0,(blank)
EIXBDBGOHS,EI Overhead,0,(blank)
EIXCNBGGFF,Freight Forwarding EI,N211399,"APEX Cargo Service Co., Ltd (ACS)"
EIXCNBGGFF,Freight Forwarding EI,N211399,H&L GLOBAL LIMITED
EIXCNBGGFF,Freight Forwarding EI,N211399,"Shanghai Ever-Do International Logistics Co., Ltd."
EIXCNBGGFF,Freight Forwarding EI,N211399,连云港瑞麟国际货运代理有限公司
EIXCNBGGFF,Freight Forwarding EI,N211399,苏州河田羽绒制品有限公司
EMXBDBGOHS,EM Overhead,0,(blank)
EMXOFBGOHS,EM Overhead,0,(blank)
EMXOHBGOHS,EM Overhead,0,(blank)
ENVISJSTRD,ENVISION,N200721,ENVISION
EPECHBJTRT,中石化,N211095,Sinopec
EPECHCNBJS,中石化,N211095,Sinopec
EPECXSHTRT,中石化,N200430,Sinopec
EPSONSHTRT,SEIKO EPSON,0,(blank)
ERICSNJJLS,ERICSSON,N211397,ERICSSON
ERICSSHKQG,ERICSSON,0,(blank)
ERISLGZHPS,ERICSSON,N211163,ERICSSON
ERISLGZTRT,ERICSSON,N211163,ERICSSON
ERISLGZWHS,ERICSSON,N211163,ERICSSON
ESDGSJNSYR,山东高速信联,0,(blank)
ESDGSJNSYS,山东高速信联,0,(blank)
ESDGSJNSYT,山东高速信联,0,(blank)
EVISUBJSHS,Evisu Group,N211607,Evisu Group
EVISUCDXXS,Evisu Group,N211606,Evisu Group
EVISUGZHPS,Evisu Group,N211605,Evisu Group
EVISUSHDQD,Evisu Group,0,(blank)
EVISUSHDQR,Evisu Group,0,(blank)
EVISUSHDQS,Evisu Group,N190046,(blank)
EVISUSHDQV,Evisu Group,N211240,Evisu Group
EVISUSHTRT,Evisu Group,0,(blank)
EYCHEGZTRD,E yangche,N200617,E Yangche
EYCHESHTRD,E yangche,N200617,E Yangche
FEIXXBJXWS,FEI,N190084,THERMO FISHER SCIENTIFIC
FEIXXDLTZS,FEI,N190084,THERMO FISHER SCIENTIFIC
FEIXXSHLDS,FEI,N200879,THERMO FISHER SCIENTIFIC
FEIXXXAEPS,FEI,N190084,THERMO FISHER SCIENTIFIC
FELLWSUTRD,Fellowes,N200829,Fellowes
FENGKSHTRT,Fengke Biotechnology,N190047,Shanghai Fengke Biotechnology
FERRECDXXS,FERRERO,N211017,FERRERO
FISHJCDXXS,Fisher Joen,N200777,Emerson Corporate
FLDXXSHTRD,FLD,N190005,Feiliks International Logistics
FLEXTCSTRD,Flex-Tek,N211398,Flex-Tek
FLXOFBGOHS,FL Overhead,0,(blank)
FORDCCSLGS,FORD MOTOR,N200544,FORD MOTOR
FORDCCSTRD,FORD MOTOR,N200309,FORD MOTOR
FORDXCQFDS,FORD MOTOR,N190009C1,FORD MOTOR
FORDXCQWHS,FORD MOTOR,N200893,FORD MOTOR
FORDXGHD1S,FORD MOTOR,0,(blank)
FORDXHBLCS,FORD MOTOR,N200117C1,FORD MOTOR
FORDXSHTRT,FORD MOTOR,0,(blank)
FORDXWHFWS,FORD MOTOR,N211019,FORD MOTOR
FORDXZJJSS,FORD MOTOR,N210943,FORD MOTOR
FORTUBJALS,FORTUNEWAY,0,(blank)
FORTUBJTRT,FORTUNEWAY,0,(blank)
FREYXSHKQP,FREY,N211550,FREY chocolate
FREYXSHTRT,FREY,N211550,FREY chocolate
FUJIESHMFS,FUJI XEROX,S200058,Fuji Xerox
FUJIESHTRD,FUJI XEROX,S200058,Fuji Xerox
FUJITWXIHS,Fujitsu,N211056,Fujitsu General
