SAP Cost Center,SAP Parent Customer,BCA,D365 Account
SENSOSHJMS,Sensori+,N211426,Sensori+
SENSOSHMGS,Sensori+,N211426,Sensori+
SERAPCZTRF,Seraphim,0,(blank)
SERAPSXTDT,Seraphim,N200570C1,Seraphim
SERAPSXTPT,Seraphim,N200570C1,Seraphim
SFDSCCNHDZ,Suzhou Hengding,0,(blank)
SFDSCCNXXZ,Default,0,(blank)
SFDSCSAPXZ,Default,0,(blank)
SFECCSHTRD,ECCO,N211361,上海顺啸丰运输有限公司
SFELCSHMHS,SF-ELC,N200750,SF Express
SFETNBJXWS,SF-Eaton,N211585,SF Express
SFETNSHYXS,SF-Eaton,N211585,SF Express
SFJNJBJXWS,SF-JNJ,N200466,SF Express
SFJNJSHWHS,SF-JNJ,0,(blank)
SFMIDWHTRD,SF-Midea,N190106,SF Express
SFMLCSHTRT,SF-Melaleuca,N200866C1,SF Express
SFNIOSYTRT,SF-NIO,N200788,SF Express
SFUNICDTRT,SF-UNIQLO,N200471,Shanghai Shunheng Logistic
SFWATGZTRD,SF-Watsons,N211318,SF Express
SFZDAJSTRD,SF Zhida,N211395,SF Zhida
SGCCXBDXAT,国家电网,N211705,State Grid Corporation
SGCCXBJTRT,国家电网,N211561,State Grid Corporation
SGCCXCQDWT,国家电网,N211629,State Grid Corporation
SGCCXCQTRT,国家电网,N211123,State Grid Corporation
SGCCXCQXMC,国家电网,0,(blank)
SGCCXCQXMS,国家电网,0,(blank)
SGCCXCQXMT,国家电网,0,(blank)
SGCCXFJTRT,国家电网,N200894,State Grid Corporation
SGCCXJSTRT,国家电网,N211340,State Grid Corporation
SGCCZBJIHC,国家电网,N211278,State Grid Corporation
SGCCZBJWHC,国家电网,N200851,State Grid Corporation
SGCCZTJIHC,国家电网,N211653,"State Grid Zhilian e-commerce Co., Ltd"
SGMWACQSGS,GENERAL MOTORS,N211025,SGMW
SGMWACQYLS,GENERAL MOTORS,0,(blank)
SGMWALZB1S,GENERAL MOTORS,N200856,SGMW
SGMWALZB2S,GENERAL MOTORS,N200856,SGMW
SGMWALZB3S,GENERAL MOTORS,N200856,SGMW
SGMWALZB4S,GENERAL MOTORS,0,(blank)
SGMWALZB5D,GENERAL MOTORS,N211006,SGMW
SGMWALZB6S,GENERAL MOTORS,N200856,SGMW
SGMWALZB7S,GENERAL MOTORS,N200856,SGMW
SGMWALZB8S,GENERAL MOTORS,N211443,SGMW
SGMWALZH1S,GENERAL MOTORS,N211006,SGMW
SGMWALZH2S,GENERAL MOTORS,N200323,SGMW
SGMWALZH3S,GENERAL MOTORS,N200557,SAGW
SGMWAQDHDS,GENERAL MOTORS,N211025,SGMW
SGMWATLYZS,GENERAL MOTORS,N211025,SGMW
SGMWAXAKGS,GENERAL MOTORS,N211025,SGMW
SHDQCSDTRD,SDQC,N211311,SDQC
SHEHKSHTWS,SHELL,N190189,Shell Downstream
SHELLBJTRT,SHELL,0,(blank)
SHELLBJWHS,SHELL,N211022,ROYAL DUTCH SHELL
SHNVAZBZBR,新华医疗,0,(blank)
SHNVAZBZBT,新华医疗,0,(blank)
SIEMEBJXWM,SIEMENS,0,(blank)
SIEMEDLWHS,SIEMENS,N200638,SIEMENS
SIEMESUEPG,SIEMENS,0,(blank)
SIEMESUEPS,SIEMENS,N200601,DHL Express
SIEMESUEPS,SIEMENS,N200601,SIEMENS
SIEMESUEPS,SIEMENS,N200601,Suzhou Kemiyou Technology
SIEMESUTRT,SIEMENS,N200024C1,SIEMENS
SIEMHSHTRD,SIEMENS - Healthcare,N200649,Siemens Healthineers
SIEMISHTRT,SIEMENS,0,(blank)
SIEMISHY2S,SIEMENS,0,(blank)
SIIXSSHTRT,SIIX,S211581,"SIIX （shanghai）Co.,Ltd"
SINCESHYXS,Sincero,N190225,Sincero
SINEPSHTRT,Shanghai SINE Pharmaceutical,N210987,Shanghai SINE Pharmaceutical Co
SINODSHYXS,Sinodis,N190037,Sinodis
SINOESZTRF,Sinoeex,N211289,sinoeex holdings corporation
SINOPBJBJR,国药,0,(blank)
SINOPSHSHT,国药,0,(blank)
SINORBJXWS,SinoRail Info Engineering Group,N211062,SinoRail Info Engineering Group
SKFCNSHMFS,SKF - Technology,N211099,SKF
SKFSHDLSMS,SKF - Industrial,N210936,SKF
SKFSHSHIHS,SKF - Industrial,N210936,SKF
SKFXXSHFSH,SKF - Industrial,0,(blank)
SKFXXSHFSS,SKF - Industrial,0,(blank)
SKFXXSHMFS,SKF - Industrial,0,(blank)
SKFXXSHSYH,SKF - Industrial,0,(blank)
SKFXXSHSYS,SKF - Industrial,0,(blank)
SOLVASHFSH,SOLVAY,N190062C1,Solvay Chemicals
SOLVASHFSS,SOLVAY,N200696,Solvay Chemicals
SOLVASHMFS,SOLVAY,N190062C1,Solvay Chemicals
SONYXSHTDT,SONY,N211087,Sony Corporate
SONYXSHTRD,SONY,N211120,Sony Corporate
SPDOFBGOHS,SPD Overhead,0,(blank)
SPDOHBGOHS,SPD Overhead,0,(blank)
SQUIBSHHTS,SQUIBB,N200703,BRISTOL-MYERS SQUIBB
SQUIBSHTRD,SQUIBB,N200845,BRISTOL-MYERS SQUIBB
SSPYYSHTRT,SSP Group,N211537,SSP Group Hangzhou Branch
STARBBJALS,STARBUCKS,N200698,STARBUCKS
STARBBJTRT,STARBUCKS,N200698,STARBUCKS
STARBBJZWS,STARBUCKS,N211254,STARBUCKS
STARBCDTRT,STARBUCKS,N200698,STARBUCKS
STARBCDXXS,STARBUCKS,N200698,STARBUCKS
STARBGZHPS,STARBUCKS,N200698,Dongguan Shunbang Logistics
STARBGZHPS,STARBUCKS,N200698,STARBUCKS
STARBGZTRT,STARBUCKS,N200698,STARBUCKS
STARBHZSCS,STARBUCKS,N211343,STARBUCKS
STARBQDTRT,STARBUCKS,N200698,STARBUCKS
STARBSHHTS,STARBUCKS,N210957C1,STARBUCKS
STARBSHLGS,STARBUCKS,N200698,STARBUCKS
STARBSHTRT,STARBUCKS,N200703,STARBUCKS
STARBSYTRT,STARBUCKS,N211349C1,STARBUCKS
STARBSYXXS,STARBUCKS,N211349C1,STARBUCKS
STARBSZQAS,STARBUCKS,N211042,STARBUCKS
STARBWHTRT,STARBUCKS,N190167,STARBUCKS
STARBXATRT,STARBUCKS,N190167,STARBUCKS
STARBXMTRT,STARBUCKS,N190167,STARBUCKS
STATESHTRD,State Grid,N200670,State Grid Corporation
SUNTEWXTDT,Wuxi Suntech Power,N190130,Wuxi Suntech Power
SUNTEWXTRT,Wuxi Suntech Power,N200042,LONGi Green Energy Technology
SUNTEWXTRT,Wuxi Suntech Power,N200042,Wuxi Suntech Power
SVWAXNBB1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBB1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBB2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBB2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBC1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBC1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBC2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBC2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBP1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBP1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBP2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBP2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBY1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBY1S,SVW,N211441,SAIC-Volkswagen
SVWAXNBY2S,SVW,N211441,SAIC-Volkswagen
SVWAXNBY2S,SVW,N211441,SAIC-Volkswagen
SXHEASXTRT,Shaanxi Heavy Vehicle,N190122,Shanxi Heavy Vehicle
SXINGSDTRD,Shuangxing,0,(blank)
TAIDAXJTRD,Hetian Taida,N190154,Hetian Taida Apparel
TAIDESHKQP,Shanghai Taide Food,0,(blank)
TAIHUBJALS,Taihu Brewing,0,(blank)
TAIJICQCQR,太极集团,0,(blank)
TAIJICQCQT,太极集团,0,(blank)
TAIYISHTRT,Shanghai Taiyin,0,(blank)
TAOCHCZIHS,Taochen Electronics,N200506,Changzhou Taochen Technology
TAXGSCNXXS,Other Customers Others,0,(blank)
TCCXXCDTRT,TCC,0,(blank)
TCCXXCDXXS,TCC,S190200,TCC Chemicals
TCCXXSHTRD,TCC,N200135,TCC Chemicals
TCMUCYNTRD,TengChong MuChen,N211083,JiaChengGuoJi
TCMUCYNTRD,TengChong MuChen,N211083,TengChong MuChen
TDABLBGOHT,TD Overhead,0,(blank)
TDAMTBGOHT,TD Overhead,0,(blank)
TDCSCBGOHT,TD Overhead,0,(blank)
TDOTMBGOHT,TD Overhead,0,(blank)
TDXBDBGOHT,TD Overhead,0,(blank)
TDXOFBGOHT,TD Overhead,0,(blank)
TDXOHBGOHT,TD Overhead,0,(blank)
TENCESHKQS,Tencent,0,(blank)
TENCESHTRT,Tencent,0,(blank)
TENCESZLHS,Tencent,0,(blank)
TENCESZTRT,Tencent,N211286,Tencent
TENCESZWHH,Tencent,0,(blank)
TESXXSHTRT,TES-AMM,0,(blank)
TFASSCCTRT,ZF,N200827,ZF Friedrichshafen
TFASSCDTRT,ZF,N200827,ZF Friedrichshafen
TFASSFSTRT,ZF,N200827,ZF Friedrichshafen
TFCVSCCTRT,ZF,N200827,ZF Friedrichshafen
THERMSHDBS,THERMO FISHER SCIENTIFIC,N210998,Thermo Fisher Corporate
THRSQAHTRD,Three Squirrels,N211422,Three Squirrels
THYSSQDTRT,THYSSENKRUPP,N211071,THYSSENKRUPP
TIANCCDTRT,CNCEC - Industrial,0,(blank)
TIANGSHTRF,Shanghai Tiange,N211536,SHANGHAI TG LOGISTICS CO LTD.
TIANHCQTRD,Chongqing Tianhan,N190178,Chongqing Tianhan Engineering
TIANMSHIHS,Tianma,N200810C1,TIANMA
TIANQXZTRD,Xuzhou Tianqi,N190180,Xuzhou Tianqi Mining Technology
TIAUTTJTRD,TI Automotive,N210929,TI Automotive
TLDCNWXTRD,TLD,N190251,TLD ASIA(WUXI) 
TLDCNWXTRD,TLD,N190251,"TLD ASIA(WUXI) CO., LTD"
TODSXSHHCS,TOD'S,N200825,Tods
TODSXSHTRD,TOD'S,N200748,Tods
TOWNSNTIHS,Townsun,N210917,Townsun
TOWNSNTTRD,Townsun,N200871,Townsun
TPTOTSHTRT,Other Customers Others,0,(blank)
TRUFFSHKQP,Truffles,N211353,上海浦丝贸易有限公司
TSAXXBJXWS,Other Customers Others,0,(blank)
TSCALBGOHS,TSC Overhead,0,(blank)
TSCBDBGOHS,TSC Overhead,0,(blank)
TSCCLBGGFF,Freight Forwarding TSC,0,(blank)
TSCCZBGGFF,Freight Forwarding TSC,N211458,Cosco Shipping Air Freight Co. LTD
TSCCZBGGFF,Freight Forwarding TSC,N211458,Houmi Supply Chain
TSCICCNWHS,Other Customers Technology,0,(blank)
TSCOHBGOHS,TSC Overhead,0,(blank)
TSCOTBGOHS,TSC Overhead,0,(blank)
TSCRZBGGFF,Freight Forwarding TSC,0,(blank)
TSCSSBGGFF,Freight Forwarding TSC,N211547,Tenneco
TSINTQDTRD,Tsingtao,N211195,SCSD-Tsingtao
TYCOPSHMFS,JOHNSON CONTROLS,0,(blank)
TYCOSSHMFS,JOHNSON CONTROLS,0,(blank)
TYCOTSDXXS,TYCO ELECTRONICS,0,(blank)
TYCOTSHFSS,TYCO ELECTRONICS,0,(blank)
TYCOTSHY2S,TYCO ELECTRONICS,N200820,TE CONNECTIVITY
TYCOTSHY3S,TYCO ELECTRONICS,N200820,TE CONNECTIVITY
TYCOTSHYXS,TYCO ELECTRONICS,N200820,TE CONNECTIVITY
UCOHZHZLYS,UCO,N200816C1,Hangzhou Ruitai Supply Chain Management
UCOHZJXXWS,UCO,N200470C1,Hangzhou Ruitai Supply Chain Management
UIMAGSHTRD,United Imaging,N211245,UNITED IMAGING
UNILEBJTRT,UNILEVER,0,(blank)
UNILESHTRT,UNILEVER,N200850,UNILEVER
UNILETCIHS,UNILEVER,0,(blank)
UNIMKCDTRT,UNILEVER,N211308,UNILEVER
UNIMKSHTRT,UNILEVER,N211308,UNILEVER
UNIPNBJTRT,UNILEVER,0,(blank)
UNIPNGZTRT,UNILEVER,0,(blank)
UNIPNSHTRT,UNILEVER,N200334,UNILEVER
UNISPZJIHS,UNISPC,N210953,UNISPC
UNISPZJTRD,UNISPC,N210953,UNISPC
UNISYBJXWS,UNISYS,0,(blank)
UNISYGHD2S,UNISYS,0,(blank)
UTCASXMNSS,UNITED TECHNOLOGIES,N211106,Collins Aerospace
VENCHSHKQS,Venchi,N211004,Venchi
VENCHSHTRT,Venchi,S200622,Venchi
VENCHSHWHS,Venchi,S200622,Venchi
VERTIGZWHS,Vertiv,0,(blank)
VESTASHTRT,VESTAS,N200005,VESTAS
VESTATJBHS,VESTAS,N190221,VESTAS
VIRIENBTRD,Viridi E-Mobility Technology,N190245,Viridi E-Mobility Technology
VOLVOGZHPS,GEELY,N211093,Volvo Car Corporation
VOLVOGZTRT,GEELY,0,(blank)
VOLVOSHTRT,GEELY,0,(blank)
VOLVOSHY2S,GEELY,N211662,Volvo Car Corporation
VWXXXSHTRT,VOLKSWAGEN,N211242,VOLKSWAGEN
VWXXXTJALS,VOLKSWAGEN,0,(blank)
VWXXXTJTDT,VOLKSWAGEN,N190223,Suppliers - Volkswagen
VWXXXTJTRD,VOLKSWAGEN,N200454,VOLKSWAGEN
VWXXXTJTRT,VOLKSWAGEN,N190118,VOLKSWAGEN
VZUGSCZJXS,V-Zug (Shanghai),N211707,V-ZUG AG
WABCOQDTRD,WABCO,S211684,WABCO Vehicle Control Systems
WABCOTSTRD,WABCO,N200283,WABCO Vehicle Control Systems
WAIXXLZB5S,Wuling Motors,0,(blank)
WAIXXSHTRT,Wuling Motors,0,(blank)
WANHUSHTRF,Wanhua Chemical,0,(blank)
WATSFSHTRT,WATSON GROUP - Consumer,N190026,Watsons
WATSOBJTRT,WATSON GROUP - Retail,N200222,Watsons
WATSOCDTRT,WATSON GROUP - Retail,0,(blank)
WATSOKSTDT,WATSON GROUP - Retail,N211532,Watsons
WATSOKSTRT,WATSON GROUP - Retail,N190027,Watsons
WATSONNTRT,WATSON GROUP - Retail,0,(blank)
WATSOSHTRT,WATSON GROUP - Retail,N190027,Watsons
WATSOWHTRT,WATSON GROUP - Retail,0,(blank)
WEICJBJXWS,Wei Chong Jian,N211275,北京卫宠健科技有限公司
WEIFTNBWHS,WEIFU GROUP - Technology,N211698,Weifu High-Technology Group
WEIFTNBWHV,WEIFU GROUP - Technology,N211670,Weifu High-Technology Group
WEIFTWXWHS,WEIFU GROUP - Technology,N200618,Weifu High-Technology Group
WEIFUNJTRT,WEIFU GROUP - Industrial,N211346,Weifu High-Technology Group
WEIFUWXIHS,WEIFU GROUP - Industrial,N211593,Weifu High-Technology Group
WEIFUWXTRD,WEIFU GROUP - Industrial,N211167,Weifu High-Technology Group
WEIFUWXTRT,WEIFU GROUP - Industrial,N200343,Weifu High-Technology Group
WEIWEGZHPS,WEI WEI,N211508,VWEI
WELLWSHKQS,WELL-WIN LOGISTICS,N211015,WELL-WIN LOGISTICS
WESTLCDTRT,Westlake Chemical,0,(blank)
WESTLCDXXS,Westlake Chemical,0,(blank)
WHBIOBJTRT,北京五和博澳药业,0,(blank)
WHJYXWHXDC,Wuhan Jinyu,0,(blank)
WILSOSHFSS,SHANGHAI WILSON SUPPLY,0,(blank)
WXGCHJSTRF,Wuxi Gongcheng,0,(blank)
WXNOCWXTRD,Wuxi No.1 Cotton,N200414,"Wuxi No.1 Cotton Textile Group Co.,Ltd."
XCEXXSYTRT,XCE Mianyang Xinchen Engine,0,(blank)
XCMGXXZTRD,XCMG,0,(blank)
XCMGXXZWHS,XCMG,0,(blank)
XIANYJSTRD,Xiang Yun,N211065,XIANGYUN
XINGUSHTRT,Xinguo Food,N190018,Shanghai Xinguo Food
XINGYSHFJH,XingYa,0,(blank)
XINTDSYTRD,Xintiandi,0,(blank)
XINWESHKQP,XINWEI,N200587,Shanghai Xinwei Ecommerce
XIWUBTJTDT,Xiwu,N200467,Webtec
XIWUBTJTRT,Xiwu,N200467,Webtec
XW3CDSFITC,SF IT,0,(blank)
XWBDPSFITC,SF IT,0,(blank)
XWCALSFITC,SF IT,0,(blank)
XWDGXSFITC,SF IT,0,(blank)
XWDZ1SFITC,SF IT,0,(blank)
XWJSDSFITC,SF IT,0,(blank)
XWKXDSFITC,SF IT,0,(blank)
XWO2DSFITC,SF IT,0,(blank)
XWQPDSFITC,SF IT,0,(blank)
XWRPTSFITC,SF IT,0,(blank)
XWSAPSFITC,SF IT,0,(blank)
XWSD1SFITC,SF IT,0,(blank)
XWSMTSFITC,SF IT,0,(blank)
XWWHSSFITC,SF IT,0,(blank)
XWXYDSFITC,SF IT,0,(blank)
XWZQDSFITC,SF IT,0,(blank)
YADIXSZTRD,Shenzhen Yadi,N190218,Yadi Construction Industry Co.
YANGFQDSNS,Yangfan Group,0,(blank)
YAOZYCNTRT,Hubei Yaozongyuan,N200248,Yao Zong Yuan
YEELIQDTRD,Yeelight,S211684,Yeelight
YISHASYTRT,Beijing Yishang Lanfengye,0,(blank)
YITIESHTRD,Shanghai YiTie,N211212,Shanghai YiTie
YITONGZHPS,Beijing Yitong Huarui,0,(blank)
YLSOLBDTRD,Yingli Solar,N211082,Yingli Solar
YLSOLTJTRD,Yingli Solar,N211526,Yingli Solar
YLZHEXJTRD,Yi Le Zhong He,N211419,Jiangsu Yilezhonghe Marketing
YNFLOKMTRD,Yunnan Flower,N211658,CHINALCO
YNFLOKMTRD,Yunnan Flower,N211658,Shenzhen Fengyi
YNWDAYNTRD,Yunnan Trading Wanda,N200896,Yunnan Trading Wanda Transportation
YNXLJKMTRD,Yunnan Xiaolajiao,N211556,Kunming Tapeila
YNXLJKMTRD,Yunnan Xiaolajiao,N211556,Yunnan Xiaolajiao International Logistics
YNYOJYNTRD,Yunnan Youjia,N200898,Yunnan Youjia
YONGTSHTRD,YongTay,N190173,YungTay
YOUCHBJTRD,Youche,N211518,广州市有车以后信息科技有限公司
YSAASSHITS,Other Customers Others,0,(blank)
YUANXSZWHS,Yuan,N211348,Yuan Hong Kong Retail Limted
YUDOMPTIHS,YUDO,N210952,Yudo Motor
YUDOMPTTRD,YUDO,N210952,Yudo Motor
YUDOMPTTRR,YUDO,N210952,Yudo Motor
YUNTHYNIHS,Yun Tian Hua,N211233,Yun Tian Hua
YUNTHYNTRD,Yun Tian Hua,N211234,Yun Tian Hua
YUWELJSTRT,Yuwell,N200746,Yuwell-Jiangsu Yuyue medical
YZJPHWXNYT,扬子江,0,(blank)
YZJPHWXWXR,扬子江,0,(blank)
YZJPHWXWXT,扬子江,0,(blank)
YZSWSBJTRT,国际生物试剂物流中心,0,(blank)
ZATSXSHTRT,ZF,N200815,ZF Friedrichshafen
ZDASTXATRT,ZF,N211416,ZF Friedrichshafen
ZEBRASHALH,ZEBRA TECHNOLOGIES,N200404,ZEBRA TECHNOLOGIES
ZEBRASHALS,ZEBRA TECHNOLOGIES,N200404,ZEBRA TECHNOLOGIES
ZEBRASHALV,ZEBRA TECHNOLOGIES,N200404,ZEBRA TECHNOLOGIES
ZFASXSHTRT,ZF,N200827,ZF Friedrichshafen
ZFCTCCCTRT,ZF,N200827,ZF Friedrichshafen
ZFDHEHZTRT,ZF,N200827,ZF Friedrichshafen
ZFEKZZHTRT,ZF,N200827,ZF Friedrichshafen
ZFHDXHFTRT,ZF,N200827,ZF Friedrichshafen
ZFMGXQDTRT,ZF,N200827,ZF Friedrichshafen
ZFSDSSATRT,ZF,N200827,ZF Friedrichshafen
ZFTSXSHTRT,ZF,N200827,ZF Friedrichshafen
ZHENZSHDQS,Zhengzhe International Trade,N190159,Zhengzhe International Trade
ZHENZSHTRD,Zhengzhe International Trade,N190159,Zhengzhe International Trade
ZHGSKJXTRD,Zhegong Shukong ,N211147,Zhegong Shukong
ZHONYBJTRT,Zhongyou,N211400,Zhongdu
ZHSOLNMTRD,Zhonghuan Solar ,0,(blank)
ZJCOCNJQXG,China State Construction,N200630C1,China State Construction
ZJCOCWHGDG,China State Construction,N211202,China State Construction
ZJCOCWHHKG,China State Construction,N200552,China State Construction
ZJCOCWHHPG,China State Construction,0,(blank)
ZJCOCWHHYG,China State Construction,N200540,China State Construction
ZJCOCWHIHG,China State Construction,0,(blank)
ZJCOCWHWHG,China State Construction,N211201,China State Construction
ZNYCNSHTRT,ZhongNan Engineering,N200125,ZhongNan Engineering Corporation
ZNYXXCDXXS,ZNY,0,(blank)
ZQXOFBGOHS,ZQ Overhead,0,(blank)
ZQXOHBGOHS,ZQ Overhead,0,(blank)
ZSHXMBJTRT,中石化,0,(blank)
ZSHXMCNBJT,中石化,0,(blank)
ZSHXMCNPKT,中石化,N210922,Sinopec
ZSHXMCNWHT,中石化,N200257,Sinopec
ZSNUOBJXWS,SL - Zhong Shi Nuo,N200383,Zhongshinuo(Beijing) Technology Development
ZTESLGZTRD,ZTE CORPORATION,S200219,ZTE
ZTEXXNJZXS,ZTE CORPORATION,N211041,ZTE
ZTEXXSXXYD,ZTE CORPORATION,S211543,ZTE
ZTEXXSXXYS,ZTE CORPORATION,0,(blank)
ZZZZZCNXXZ,Default,0,(blank)
国药医药新业务TS运输,国药,0,(blank)
中石化政企新业务TS仓储,中石化,0,(blank)
中石化政企新业务TS运输,中石化,0,(blank)
中石化政企新业务大网仓储,中石化,0,(blank)
中石油政企新业务TS仓储,中石油,0,(blank)
中石油政企新业务TS运输,中石油,0,(blank)
